hip,star_name,name_type,rough_star_type,fame_tier,source,ra_j2016,dec_j2016,plx,e_plx,hp_mag,b_v,bp_rp_est,absolute_hp_mag,distance_ly,x_ly,y_ly,z_ly,drawn_by_alpha_cen_group
71681,Toliman (Alpha Centauri B),iau,Orange Dwarf,0,Hipparcos,219.8631271,-60.83396,796.92,25.9,1.2429,0.9,1.09,5.75,4.0927,-1.531,-1.2784,-3.5738,True
71683,Rigil Kentaurus (Alpha Centauri A),iau,Yellow Dwarf,0,Hipparcos,219.8685025,-60.8318887,754.81,4.11,0.1373,0.71,0.874,4.526,4.321,-1.6164,-1.35,-3.7731,True
32349,Sirius,iau,A-type Star,0,Hipparcos,101.2846217,-16.7215517,379.21,1.58,-1.0876,0.009,0.067,1.807,8.6009,-1.6119,8.078,-2.4747,False
37279,Procyon,iau,F-type Star,0,Hipparcos,114.8223087,5.2203796,284.56,1.26,0.4607,0.432,0.595,2.732,11.4618,-4.7918,10.3597,1.0429,False
97649,Altair,iau,F-type Star,0,Hipparcos,297.6982394,8.8700336,194.95,0.57,0.8273,0.221,0.327,2.277,16.7303,7.6835,-14.6359,2.5797,False
91262,Vega,iau,A-type Star,0,Hipparcos,279.2358804,38.7849611,130.23,0.36,0.0868,-0.001,0.054,0.66,25.0446,3.1333,-19.2693,15.6879,False
113368,Fomalhaut,iau,A-type Star,0,Hipparcos,344.4143745,-29.6229689,129.81,0.47,1.1808,0.145,0.228,1.747,25.1257,21.0386,-5.8684,-12.4194,False
89937,χ Dra,bayer,Yellow Dwarf,2,Hipparcos,275.2720484,72.7312935,124.11,0.87,3.6666,0.489,0.656,4.136,26.2796,0.7168,-7.7682,25.095,False
37826,Pollux,iau,Giant / Subgiant,0,Hipparcos,116.3258032,28.0259953,96.54,0.27,1.2947,0.991,1.206,1.218,33.7846,-13.2257,26.7298,15.8744,False
81693,Tianji,iau,Giant / Subgiant,1,Hipparcos,250.319096,31.60424,93.32,0.47,2.9338,0.65,0.816,2.784,34.9503,-10.0249,-28.0279,18.3157,False
57632,Denebola,iau,A-type Star,0,Hipparcos,177.2626243,14.5715484,90.91,0.52,2.1605,0.09,0.16,1.954,35.8768,-34.6832,1.6583,9.0262,False
69673,Arcturus,iau,Giant / Subgiant,0,Hipparcos,213.9101549,19.17352,88.83,0.54,0.1114,1.239,1.533,-0.146,36.7169,-28.7815,-19.3478,12.0589,False
67927,Muphrid,iau,Yellow Dwarf,1,Hipparcos,208.6708767,18.3961372,87.75,1.24,2.7957,0.58,0.75,2.512,37.1688,-30.945,-16.9215,11.7299,False
73695,Quadrans,iau,Yellow Dwarf,2,Hipparcos,225.9441235,47.6541502,79.95,1.56,4.8775,0.647,0.813,4.392,40.795,-19.1083,-19.7486,30.1513,False
24608,Capella,iau,Giant / Subgiant,0,Hipparcos,79.1728094,45.9960942,76.2,0.46,0.2385,0.795,0.966,-0.352,42.8027,5.5857,29.206,30.7876,False
86032,Rasalhague (Alpha Ophiuchi),iau,A-type Star,0,Hipparcos,263.7341148,12.5590526,67.13,1.06,2.1262,0.155,0.24,1.261,48.5858,-5.1759,-47.1399,10.5648,False
105199,Alderamin,iau,F-type Star,1,Hipparcos,319.6463379,62.5857926,66.5,0.11,2.5141,0.257,0.38,1.628,49.0461,17.2087,-14.6218,43.5383,False
2941,,,Yellow Dwarf,,Hipparcos,9.3434307,-24.7673596,64.93,1.85,5.7134,0.715,0.879,4.776,50.232,45.0063,7.4051,-21.0439,False
95501,Guqi,iau,F-type Star,1,Hipparcos,291.3757221,3.1151462,64.41,1.0,3.4408,0.319,0.466,2.486,50.6375,18.4292,-47.0845,2.7518,False
36850,Castor,iau,A-type Star,0,Hipparcos,113.6484695,31.8876369,64.12,3.75,1.5811,0.034,0.096,0.616,50.8666,-17.3246,39.5631,26.8705,False
85667,,,Yellow Dwarf,,Hipparcos,262.5985861,-1.0636628,61.19,0.68,5.4509,0.715,0.879,4.384,53.3022,-6.8652,-52.849,-0.9895,False
38382,,,Yellow Dwarf,,Hipparcos,117.9426188,-13.8995732,60.59,0.59,5.277,0.6,0.77,4.189,53.8301,-24.4855,46.1619,-12.9311,False
746,Caph,iau,F-type Star,1,Hipparcos,2.2990589,59.1489821,59.58,0.38,2.3579,0.38,0.538,1.233,54.7426,28.0498,1.1261,46.9967,False
93825,γ CrA,bayer,Yellow Dwarf,2,Hipparcos,286.6051644,-37.0646937,57.79,0.75,4.3123,0.523,0.692,3.122,56.4382,12.8699,-43.1571,-34.0162,False
64241,Diadem,iau,Yellow Dwarf,2,Hipparcos,197.4950029,17.530083,56.1,0.89,4.4292,0.455,0.62,3.174,58.1384,-52.874,-16.666,17.5117,False
75312,,,Yellow Dwarf,,Hipparcos,230.8018736,30.2870634,55.98,0.78,5.1117,0.577,0.746,3.852,58.263,-31.7965,-38.989,29.3839,False
54872,Zosma,iau,A-type Star,1,Hipparcos,168.5277699,20.5231409,55.82,0.25,2.5932,0.128,0.206,1.327,58.43,-53.6282,10.8837,20.4847,False
8903,Sheratan,iau,A-type Star,1,Hipparcos,28.6605153,20.8075408,55.6,0.58,2.7044,0.165,0.253,1.43,58.6612,48.1167,26.3,20.8382,False
65109,Kulou,iau,A-type Star,1,Hipparcos,200.1473479,-36.712673,55.49,0.17,2.7717,0.068,0.135,1.493,58.7775,-44.2354,-16.2293,-35.1373,False
68933,Menkent (Theta Centauri),iau,Giant / Subgiant,1,Hipparcos,211.6677416,-36.3722572,55.45,0.2,2.2226,1.011,1.231,0.942,58.8199,-40.309,-24.864,-34.8819,False
